iter	Passed	Remaining
1603	5878	1451
1604	5882	1447
1605	5886	1444
1606	5890	1440
1607	5893	1436
1608	5897	1433
1609	5901	1429
1610	5905	1425
1611	5908	1422
1612	5912	1418
1613	5916	1414
1614	5920	1411
1615	5924	1407
1616	5927	1404
1617	5931	1400
1618	5934	1396
1619	5938	1392
1620	5941	1389
1621	5945	1385
1622	5948	1381
1623	5952	1378
1624	5955	1374
1625	5959	1370
1626	5963	1367
1627	5967	1363
1628	5971	1359
1629	5975	1356
1630	5979	1352
1631	5983	1349
1632	5987	1345
1633	5991	1342
1634	5995	1338
1635	5999	1334
1636	6003	1331
1637	6006	1327
1638	6010	1323
1639	6013	1320
1640	6017	1316
1641	6020	1312
1642	6024	1308
1643	6027	1305
1644	6031	1301
1645	6035	1297
1646	6038	1294
1647	6042	1290
1648	6045	1286
1649	6049	1283
1650	6052	1279
1651	6055	1275
1652	6059	1271
1653	6062	1268
1654	6066	1264
1655	6069	1260
1656	6073	1257
1657	6077	1253
1658	6080	1249
1659	6083	1246
1660	6087	1242
1661	6091	1238
1662	6095	1235
1663	6098	1231
1664	6101	1227
1665	6105	1223
1666	6109	1220
1667	6112	1216
1668	6115	1212
1669	6119	1209
1670	6123	1205
1671	6127	1201
1672	6130	1198
1673	6134	1194
1674	6137	1190
1675	6141	1187
1676	6144	1183
1677	6148	1179
1678	6151	1176
1679	6155	1172
1680	6159	1168
1681	6163	1165
1682	6166	1161
1683	6170	1157
1684	6174	1154
1685	6178	1150
1686	6182	1147
